#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	rel_flux_T76_n	rel_flux_err_T76_n	AIRMASS	Sky/Pixel_T1	Width_T1	tot_C_cnts	X(FITS)_T1	Y(FITS)_T1
2458242.957805	0.998173	0.001255	1.023190	0.004576	1.907653	1460.876597	16.402322	24460875.449456	1765.010407	2171.510240
2458242.959105	0.994494	0.001255	1.024792	0.004652	1.922651	1464.350463	17.131256	24262194.558503	1765.217511	2171.271666
2458242.960406	0.999496	0.001255	1.014801	0.004652	1.938048	1470.426638	16.869020	24378771.703358	1765.057856	2171.346487
2458242.961708	0.995969	0.001255	1.028148	0.004652	1.953882	1478.299417	16.479888	24391518.488974	1765.123000	2170.905615
2458242.963009	0.999055	0.001272	1.015793	0.004652	1.970113	1486.430623	16.350880	24379536.917293	1765.298337	2171.213630
2458242.964309	0.998970	0.001272	1.016708	0.004652	1.986776	1494.533168	16.510816	24350931.253377	1765.130222	2171.262777
2458242.965609	1.000547	0.001272	1.023648	0.004729	2.003885	1507.802268	16.689427	24221529.653843	1764.921723	2171.547160
2458242.966909	0.995867	0.001272	1.013962	0.004729	2.021465	1515.587971	16.729194	24248592.323022	1765.705449	2171.310049
2458242.968210	1.002226	0.001272	1.011674	0.004729	2.039530	1519.620807	16.476058	24248100.705623	1765.471254	2171.109200
2458242.969510	0.996003	0.001289	1.026165	0.004729	2.058093	1525.911084	16.446744	24228808.465708	1765.342555	2171.188511
2458242.970812	0.998021	0.001289	1.020063	0.004805	2.077198	1538.556213	16.764765	24072445.362249	1765.449881	2171.111464
2458242.972114	0.998343	0.001289	1.021055	0.004805	2.096819	1551.711848	16.727101	24040627.556564	1765.609227	2171.165537
2458242.973414	0.998055	0.001306	1.026622	0.004805	2.116985	1563.942236	16.982190	24077308.263855	1766.121969	2171.499987
2458242.974713	0.997936	0.001306	1.026241	0.004881	2.137695	1582.124485	16.904199	23992002.053527	1765.570923	2171.598971
2458242.976015	0.993544	0.001323	1.014038	0.004881	2.159034	1596.522062	17.187950	23848274.562146	1765.654707	2171.371030
2458242.977315	0.994646	0.001323	1.027995	0.004881	2.180969	1611.856434	17.074755	23901395.583964	1765.711566	2171.456437
2458242.978616	0.995782	0.001323	1.025021	0.004957	2.203539	1631.246475	16.912197	23817780.013489	1765.799164	2171.912485
2458242.979916	0.994663	0.001340	1.018386	0.005034	2.226778	1661.988011	17.436052	23599483.725863	1766.002217	2171.618717
2458242.981276	0.995596	0.001340	1.023343	0.005034	2.251793	1698.840173	17.209465	23684533.672069	1766.171666	2171.285372
2458242.982576	0.994816	0.001357	1.023343	0.005110	2.276460	1743.186612	16.947025	23738238.735333	1766.038691	2171.640969
2458242.983877	0.996817	0.001373	1.027766	0.005186	2.301862	1809.102552	17.121681	23610597.400683	1766.190546	2171.611039
2458242.985177	0.994036	0.001407	1.030207	0.005339	2.328030	1896.294089	17.124777	23608891.389636	1766.053346	2171.472766
