GJD-2450000 flux err airmass sky dx dy fwhm peak baserun
8540.005133 0.991417 0.006569 1.0846 117.7 0.672 0.023 4.43 7353.0 MSCT1_1902250276
8540.005492 0.989541 0.005206 1.0839 109.3 1.337 0.030 4.06 9359.0 MSCT1_1902250277
8540.005862 0.995999 0.004901 1.0832 104.8 -2.668 -0.170 6.04 7206.0 MSCT1_1902250278
8540.006233 1.001174 0.004981 1.0826 106.8 -2.995 -0.560 5.00 8241.0 MSCT1_1902250279
8540.006591 1.002840 0.006061 1.0819 115.9 -2.309 -0.056 4.84 6546.0 MSCT1_1902250280
8540.008420 0.952760 0.073713 1.0786 182.7 1.370 1.196 6.93 531.0 MSCT1_1902250285
8540.008791 1.155895 0.049950 1.0780 170.8 2.851 0.636 6.18 773.0 MSCT1_1902250286
8540.009890 1.141197 0.122602 1.0762 157.2 5.619 -2.035 9.98 371.0 MSCT1_1902250289
8540.010260 1.217281 0.104361 1.0756 166.4 4.525 -0.766 6.81 454.0 MSCT1_1902250290
8540.014288 2.803616 0.205407 1.0692 242.4 1005.312 897.485 6.57 515.0 MSCT1_1902250301
8540.014659 0.967837 0.006867 1.0686 127.3 14.883 2.182 5.19 4872.0 MSCT1_1902250302
8540.015017 0.994883 0.004969 1.0681 98.6 15.257 -0.054 6.61 5114.0 MSCT1_1902250303
8540.015388 0.991935 0.006365 1.0675 105.5 25.661 -0.024 9.91 4379.0 MSCT1_1902250304
8540.015758 0.992192 0.006326 1.0671 107.8 29.175 -0.194 5.39 5438.0 MSCT1_1902250305
8540.016117 0.989156 0.004961 1.0665 94.3 30.994 -0.338 5.66 6809.0 MSCT1_1902250306
8540.016487 1.000619 0.004751 1.0660 91.4 31.480 0.913 5.54 8332.0 MSCT1_1902250307
8540.016846 0.998073 0.004922 1.0654 92.7 22.822 0.453 6.00 6847.0 MSCT1_1902250308
8540.017216 0.992617 0.005008 1.0650 95.1 22.631 -0.248 6.23 6560.0 MSCT1_1902250309
8540.017587 0.995496 0.004846 1.0644 90.1 20.660 0.922 8.62 4875.0 MSCT1_1902250310
8540.017946 0.999995 0.004873 1.0639 90.7 28.137 -0.456 6.79 5873.0 MSCT1_1902250311
