GJD-2450000 flux err airmass sky dx dy fwhm peak baserun
8539.993791 1.009341 0.003838 1.1084 1059.7 -1.393 0.928 4.84 23921.0 MSCT0_1902250245
8539.994161 0.998823 0.004856 1.1076 1161.6 -0.567 0.428 5.11 16728.0 MSCT0_1902250246
8539.994520 0.055904 0.110045 1.1067 1804.8 -161.480 -68.071 12.83 2540.0 MSCT0_1902250247
8539.994890 0.982122 0.009777 1.1058 1453.9 -0.383 0.421 5.23 9402.0 MSCT0_1902250248
8539.995260 0.987774 0.004001 1.1051 1210.2 2.195 1.019 5.70 17523.0 MSCT0_1902250249
8539.995619 1.001016 0.003308 1.1042 1003.8 -0.234 0.910 8.09 11914.0 MSCT0_1902250250
8539.995990 0.992992 0.003027 1.1034 955.6 0.447 -0.064 7.06 15985.0 MSCT0_1902250251
8539.996360 0.998551 0.002886 1.1025 930.4 -0.372 0.732 5.88 25616.0 MSCT0_1902250252
8539.996719 0.992674 0.002723 1.1018 890.3 0.376 0.044 5.54 27422.0 MSCT0_1902250253
8539.997089 0.996858 0.002632 1.1009 859.7 0.297 0.641 5.55 31096.0 MSCT0_1902250254
8539.997459 0.988888 0.002616 1.1001 831.9 1.172 0.754 6.75 22016.0 MSCT0_1902250255
8539.997818 0.993430 0.002688 1.0994 825.1 -0.007 -0.244 6.70 21470.0 MSCT0_1902250256
8539.998189 0.994083 0.002535 1.0985 797.5 -0.314 1.253 6.03 29109.0 MSCT0_1902250257
8539.998559 0.990581 0.002544 1.0977 794.4 0.552 0.995 5.71 30681.0 MSCT0_1902250258
8539.998918 0.997899 0.002639 1.0969 814.3 0.058 -0.923 5.27 32167.0 MSCT0_1902250259
8539.999288 1.009908 0.005726 1.0962 1042.1 1.363 0.797 5.42 13991.0 MSCT0_1902250260
8539.999659 0.972395 0.003942 1.0954 933.6 1.710 0.242 5.60 17958.0 MSCT0_1902250261
8540.000017 0.985817 0.002808 1.0946 817.4 0.949 -0.262 6.13 25509.0 MSCT0_1902250262
8540.000388 0.996476 0.002640 1.0939 779.3 -0.474 -0.090 5.67 28440.0 MSCT0_1902250263
8540.000758 0.990988 0.002607 1.0931 766.2 -0.445 0.007 5.33 31572.0 MSCT0_1902250264
8540.001117 0.993704 0.002530 1.0923 755.1 0.298 0.000 5.52 28871.0 MSCT0_1902250265
8540.001487 0.994392 0.002547 1.0917 756.2 0.757 0.243 6.38 23814.0 MSCT0_1902250266
8540.001858 0.990608 0.002529 1.0909 760.1 0.558 0.270 5.71 29816.0 MSCT0_1902250267
8540.002216 0.995952 0.002599 1.0902 770.0 -0.922 0.369 5.63 27798.0 MSCT0_1902250268
8540.002587 0.996240 0.002700 1.0894 791.8 0.060 0.073 5.68 25960.0 MSCT0_1902250269
8540.002957 0.995964 0.002801 1.0888 798.7 0.143 0.265 5.71 25242.0 MSCT0_1902250270
8540.003316 0.991366 0.002864 1.0880 816.3 0.050 -0.457 5.67 25274.0 MSCT0_1902250271
8540.003686 0.970202 0.003177 1.0873 856.6 -0.553 0.425 5.39 23424.0 MSCT0_1902250272
8540.004057 0.987730 0.002767 1.0867 826.7 1.334 0.919 5.42 29977.0 MSCT0_1902250273
8540.004416 0.984900 0.004878 1.0859 939.5 0.641 1.502 5.28 16635.0 MSCT0_1902250274
8540.004786 0.987823 0.003654 1.0852 894.6 1.611 0.117 5.33 20068.0 MSCT0_1902250275
8540.005156 0.991156 0.003549 1.0845 912.9 2.487 1.310 4.88 25257.0 MSCT0_1902250276
8540.005515 0.996536 0.002828 1.0839 851.6 2.998 0.625 4.69 35625.0 MSCT0_1902250277
8540.005885 0.993202 0.002641 1.0832 841.2 -0.459 0.608 5.89 28688.0 MSCT0_1902250278
8540.006256 1.001922 0.002728 1.0825 858.8 -2.085 0.038 5.22 31294.0 MSCT0_1902250279
8540.006615 1.001202 0.003566 1.0819 961.5 -1.043 0.048 5.31 21860.0 MSCT0_1902250280
8540.008455 0.999348 0.035662 1.0786 1474.9 0.974 0.349 6.18 3193.0 MSCT0_1902250285
8540.008814 1.108863 0.032982 1.0779 1400.7 2.050 0.447 5.98 3164.0 MSCT0_1902250286
8540.009554 0.024535 0.077298 1.0767 1331.9 -209.076 -168.892 14.06 2005.0 MSCT0_1902250288
8540.009913 1.103742 0.059642 1.0761 1263.4 4.994 1.773 6.64 2133.0 MSCT0_1902250289
8540.013953 3.242188 238.427599 1.0696 2411.4 -0.307 -0.000 0.00 2478.0 MSCT0_1902250300
8540.014311 3.242188 210.916722 1.0692 1824.2 -0.307 -0.000 0.00 1875.0 MSCT0_1902250301
8540.014682 0.976098 0.003368 1.0686 881.5 16.538 3.196 5.70 20488.0 MSCT0_1902250302
8540.015052 0.997691 0.002579 1.0680 689.1 17.510 0.160 6.71 20709.0 MSCT0_1902250303
8540.015411 0.981145 0.003360 1.0675 744.9 29.139 -0.038 8.18 17447.0 MSCT0_1902250304
8540.015781 0.987973 0.003083 1.0670 724.2 31.722 0.804 5.67 22276.0 MSCT0_1902250305
8540.016152 0.990671 0.002488 1.0664 636.2 31.908 0.182 5.82 26100.0 MSCT0_1902250306
8540.016510 0.992732 0.002396 1.0660 615.4 31.876 1.311 5.81 31238.0 MSCT0_1902250307
8540.016881 0.991508 0.002473 1.0654 629.0 24.060 0.395 5.64 28038.0 MSCT0_1902250308
8540.017251 0.993438 0.002533 1.0649 636.0 25.458 -0.695 6.87 23946.0 MSCT0_1902250309
8540.017610 0.991402 0.002465 1.0644 611.3 23.124 1.130 7.62 19585.0 MSCT0_1902250310
8540.017980 0.992545 0.002457 1.0639 609.5 31.115 0.245 6.63 23952.0 MSCT0_1902250311
8540.018351 0.989856 0.002390 1.0634 597.2 32.859 0.384 5.54 31335.0 MSCT0_1902250312
8540.018709 0.991837 0.002338 1.0629 580.6 33.265 1.105 5.46 31090.0 MSCT0_1902250313
8540.019080 0.992660 0.002359 1.0624 586.9 34.234 -0.416 5.18 34414.0 MSCT0_1902250314
8540.019450 0.991017 0.002406 1.0619 597.7 33.668 1.151 5.78 30176.0 MSCT0_1902250315
8540.019809 0.991335 0.002430 1.0614 598.6 33.522 0.516 5.59 29573.0 MSCT0_1902250316
8540.020179 0.997000 0.002467 1.0610 595.1 32.513 1.270 5.59 28945.0 MSCT0_1902250317
8540.020550 0.993733 0.002727 1.0605 640.2 32.556 1.291 5.25 28734.0 MSCT0_1902250318
8540.020909 0.995573 0.002590 1.0600 619.9 6.751 0.837 5.95 25113.0 MSCT0_1902250319
8540.021279 0.998052 0.002597 1.0595 621.9 0.481 1.848 7.93 22774.0 MSCT0_1902250320
8540.021649 0.989405 0.002380 1.0592 580.4 -1.707 1.366 5.59 31774.0 MSCT0_1902250321
8540.022008 0.992058 0.002319 1.0587 556.7 -1.237 0.456 5.91 32175.0 MSCT0_1902250322
8540.022378 0.994962 0.002330 1.0582 559.2 -0.393 0.110 5.53 35068.0 MSCT0_1902250323
8540.022737 0.993013 0.002351 1.0578 562.0 0.348 0.997 5.50 32320.0 MSCT0_1902250324
8540.023108 0.994529 0.002304 1.0574 551.2 -0.671 1.347 4.97 35999.0 MSCT0_1902250325
8540.023478 0.991901 0.002305 1.0569 554.8 -1.203 1.369 5.48 35011.0 MSCT0_1902250326
8540.023837 0.990328 0.002379 1.0565 570.6 -0.475 -0.236 4.95 35773.0 MSCT0_1902250327
8540.024207 0.994211 0.002405 1.0561 569.2 -0.529 1.029 6.24 24320.0 MSCT0_1902250328
8540.024578 0.994548 0.002401 1.0557 567.3 0.239 0.531 6.15 26976.0 MSCT0_1902250329
8540.024936 0.992841 0.002387 1.0553 568.5 -0.515 0.191 5.32 33260.0 MSCT0_1902250330
8540.025307 0.988902 0.002431 1.0549 580.7 0.824 0.571 5.32 32311.0 MSCT0_1902250331
8540.025677 0.996136 0.002492 1.0545 593.2 -0.723 0.699 5.86 29562.0 MSCT0_1902250332
8540.026036 0.992947 0.002526 1.0541 602.9 -1.432 0.913 5.36 36429.0 MSCT0_1902250333
8540.026406 0.994613 0.002597 1.0537 619.7 -1.216 0.288 5.64 27767.0 MSCT0_1902250334
8540.026777 0.992463 0.002536 1.0533 613.0 -0.572 0.786 5.33 31674.0 MSCT0_1902250335
8540.027135 0.988310 0.002565 1.0529 622.9 -0.052 -0.095 4.73 38641.0 MSCT0_1902250336
8540.027506 0.994141 0.002675 1.0525 642.0 -1.724 0.349 5.64 28324.0 MSCT0_1902250337
8540.027876 0.993278 0.002642 1.0522 636.2 -1.301 0.352 5.14 31888.0 MSCT0_1902250338
8540.028247 0.988399 0.002604 1.0518 624.2 -0.202 1.800 6.11 25617.0 MSCT0_1902250339
8540.028605 0.994581 0.002661 1.0514 621.5 0.902 1.455 6.52 19198.0 MSCT0_1902250340
8540.028976 0.991278 0.002682 1.0511 632.1 1.145 -0.063 6.62 20604.0 MSCT0_1902250341
8540.029346 0.991627 0.002599 1.0508 618.8 -0.121 -0.858 6.01 24018.0 MSCT0_1902250342
8540.029705 0.992104 0.002552 1.0504 605.3 -1.372 -0.113 5.30 30272.0 MSCT0_1902250343
8540.030075 0.993674 0.002525 1.0500 594.5 0.191 1.097 6.03 25182.0 MSCT0_1902250344
8540.030446 0.993428 0.002611 1.0497 614.4 -0.099 0.996 6.46 23769.0 MSCT0_1902250345
8540.030804 0.990559 0.002636 1.0494 615.8 0.880 -0.089 6.05 21865.0 MSCT0_1902250346
8540.031175 0.996164 0.002558 1.0491 596.0 0.927 -0.033 6.16 22278.0 MSCT0_1902250347
8540.031545 0.995720 0.002450 1.0488 567.4 0.151 1.002 5.71 27256.0 MSCT0_1902250348
8540.031904 0.993559 0.002432 1.0484 557.9 0.001 2.245 6.87 23467.0 MSCT0_1902250349
8540.032274 0.994226 0.002437 1.0481 558.8 -0.259 -0.321 6.11 24722.0 MSCT0_1902250350
8540.032645 0.991983 0.002415 1.0478 552.3 -1.422 -0.260 6.53 24191.0 MSCT0_1902250351
8540.033003 0.994143 0.002398 1.0475 553.6 -0.420 0.230 5.46 29645.0 MSCT0_1902250352
8540.033374 0.987989 0.002367 1.0472 543.1 0.133 0.422 5.72 30755.0 MSCT0_1902250353
8540.033733 0.992614 0.002348 1.0469 541.6 0.644 0.962 5.53 32682.0 MSCT0_1902250354
8540.034103 0.991580 0.002343 1.0466 540.3 0.174 0.292 4.75 35566.0 MSCT0_1902250355
8540.034473 0.992155 0.002446 1.0463 557.5 -2.197 0.942 5.49 30433.0 MSCT0_1902250356
8540.034832 0.998204 0.002299 1.0460 518.9 -1.387 1.179 5.34 34905.0 MSCT0_1902250357
8540.035203 0.990538 0.002295 1.0457 516.3 0.746 0.809 5.86 28796.0 MSCT0_1902250358
8540.035573 0.993473 0.002300 1.0455 520.0 -0.515 0.907 5.05 33713.0 MSCT0_1902250359
8540.035932 0.992474 0.002282 1.0452 514.1 0.823 1.932 5.48 32653.0 MSCT0_1902250360
8540.036302 0.993332 0.002272 1.0450 510.3 -0.531 0.210 6.22 28997.0 MSCT0_1902250361
8540.036672 0.993450 0.002257 1.0447 500.5 -0.256 0.312 5.40 36281.0 MSCT0_1902250362
8540.037031 0.991845 0.002331 1.0445 507.5 -0.272 1.033 6.16 25764.0 MSCT0_1902250363
8540.037402 0.995496 0.002277 1.0442 500.3 0.074 0.619 5.14 33712.0 MSCT0_1902250364
8540.037772 0.994276 0.002272 1.0439 498.3 -0.983 1.537 5.69 29891.0 MSCT0_1902250365
8540.038131 0.992468 0.002282 1.0437 496.8 0.076 -0.130 6.02 29187.0 MSCT0_1902250366
8540.038501 0.992863 0.002311 1.0435 506.2 -3.075 -0.679 5.93 29398.0 MSCT0_1902250367
8540.038872 0.993919 0.002297 1.0433 501.8 -2.046 0.276 5.17 35214.0 MSCT0_1902250368
8540.039230 0.994060 0.002294 1.0431 499.4 -0.803 0.376 5.38 33273.0 MSCT0_1902250369
8540.039601 0.991862 0.002264 1.0428 495.0 -0.267 0.035 4.72 43389.0 MSCT0_1902250370
8540.039971 0.994934 0.002279 1.0426 493.3 -2.573 0.096 5.63 32222.0 MSCT0_1902250371
8540.040330 0.991962 0.002264 1.0424 489.4 -0.861 -0.122 4.88 38893.0 MSCT0_1902250372
8540.040700 0.993568 0.002280 1.0422 494.3 0.125 0.407 4.75 39860.0 MSCT0_1902250373
8540.041071 0.990797 0.002315 1.0420 503.2 -2.645 0.750 5.27 33689.0 MSCT0_1902250374
8540.041429 0.996184 0.002355 1.0418 509.7 -1.154 0.206 5.92 28312.0 MSCT0_1902250375
8540.041800 0.987488 0.002307 1.0416 499.2 -0.514 0.655 5.41 34358.0 MSCT0_1902250376
8540.042170 0.995489 0.002313 1.0414 499.8 0.665 0.985 5.00 38578.0 MSCT0_1902250377
8540.042529 0.992293 0.002308 1.0412 497.6 -0.753 2.258 5.07 38198.0 MSCT0_1902250378
8540.042899 0.990202 0.002348 1.0411 521.7 -1.182 0.519 4.88 37649.0 MSCT0_1902250379
8540.043270 0.993513 0.002368 1.0409 536.3 -1.497 0.738 5.72 31692.0 MSCT0_1902250380
8540.043628 0.992333 0.002289 1.0407 514.2 -0.708 0.068 4.72 48343.0 MSCT0_1902250381
8540.043999 0.995230 0.002303 1.0405 524.0 -1.088 1.276 4.75 41201.0 MSCT0_1902250382
8540.044369 0.991960 0.002280 1.0404 507.3 -0.522 1.614 5.01 40256.0 MSCT0_1902250383
8540.044728 0.994586 0.002280 1.0402 485.4 -1.699 0.165 4.84 42920.0 MSCT0_1902250384
8540.045098 0.994648 0.002276 1.0400 479.9 -0.746 -0.553 4.88 40515.0 MSCT0_1902250385
8540.045469 0.993038 0.002257 1.0399 473.6 -1.387 -0.222 4.52 44071.0 MSCT0_1902250386
8540.045828 0.993627 0.002264 1.0398 478.0 0.544 1.049 4.83 41619.0 MSCT0_1902250387
