# GJD-2450000 flux err airmass sky dx dy baserun
8208.045990 1.016720 0.013046 1.1742 1007.8 -1.818 -0.006 MSCT2_1803300243
8208.046615 1.019724 0.012958 1.1762 1011.2 -1.449 0.538 MSCT2_1803300244
8208.047216 1.005877 0.013054 1.1783 1018.2 -2.334 -0.024 MSCT2_1803300245
8208.047830 1.008692 0.013143 1.1804 1019.5 -1.744 0.775 MSCT2_1803300246
8208.048443 1.014603 0.013198 1.1825 1019.6 -1.519 -0.372 MSCT2_1803300247
8208.049057 1.001194 0.012732 1.1848 1022.1 -3.017 -0.333 MSCT2_1803300248
8208.049670 1.014535 0.013034 1.1870 1021.8 -0.825 -0.597 MSCT2_1803300249
8208.050284 0.992757 0.012854 1.1892 1023.2 0.182 0.630 MSCT2_1803300250
8208.050897 1.010776 0.013248 1.1913 1027.7 -1.610 -0.268 MSCT2_1803300251
8208.051510 1.009056 0.013056 1.1936 1028.3 -1.759 -0.593 MSCT2_1803300252
8208.052112 1.014285 0.012999 1.1959 1028.3 -2.470 -0.458 MSCT2_1803300253
8208.052726 1.025867 0.013053 1.1981 1029.9 -1.500 0.037 MSCT2_1803300254
8208.053328 0.990718 0.012935 1.2004 1034.8 -2.224 0.207 MSCT2_1803300255
